[000000001C0D126D],0.000000,124.713596,0.000000,49.996408,python3,,0
[000000006562693C],0.000000,117.098486,0.000000,46.943588,_ctypes,,0
DllCanUnloadNow,0.000000,117.098486,0.000000,46.943588,_ctypes,[unknown],0
PyGC_Collect,0.000000,0.008972,0.000000,0.003597,python36,[unknown],0
PyGC_CollectNoFail,0.000000,0.007974,0.000000,0.003197,python36,[unknown],0
PyMethod_ClearFreeList,0.000000,0.016946,0.000000,0.006793,python36,[unknown],0
PyDict_MaybeUntrack,0.012973,0.034623,0.005201,0.013880,python36,[unknown],0
PyIter_Next,0.011000,0.011000,0.004410,0.004410,python36,[unknown],0
PyBytes_Resize,0.000000,0.022913,0.000000,0.009186,python36,[unknown],0
PyObject_CallMethodId_SizeT,0.000000,0.022913,0.000000,0.009186,python36,[unknown],0
Py_fstat_noraise,0.000000,0.020930,0.000000,0.008391,python36,[unknown],0
Py_read,0.000000,0.201470,0.000000,0.080767,python36,[unknown],0
PyEval_RestoreThread,0.010977,0.010977,0.004401,0.004401,python36,[unknown],0
PyImport_Cleanup,0.000000,0.007974,0.000000,0.003197,python36,[unknown],0
PyLong_FromSsize_t,0.000000,0.011940,0.000000,0.004787,python36,[unknown],0
PyObject_HasAttrId,0.000000,0.003973,0.000000,0.001593,python36,[unknown],0
PyObject_CallMethodObjArgs,0.000000,1.067935,0.000000,0.428124,python36,[unknown],0
PyObject_Call,0.000000,0.020930,0.000000,0.008391,python36,[unknown],0
PyObject_GetAttr,0.000000,0.033967,0.000000,0.013617,python36,[unknown],0
PyObject_FastCallDict,0.000000,1.033968,0.000000,0.414507,python36,[unknown],0
PyTuple_New,0.000000,0.003973,0.000000,0.001593,python36,[unknown],0
PyObject_ClearWeakRefs,0.014448,0.014448,0.005792,0.005792,python36,[unknown],0
PyImport_ImportModuleLevelObject,0.000000,0.008990,0.000000,0.003604,python36,[unknown],0
PyObject_GC_Del,0.020941,0.020941,0.008395,0.008395,python36,[unknown],0
PyObject_Free,0.047909,0.047909,0.019206,0.019206,python36,[unknown],0
PyUnicode_New,0.011940,0.023864,0.004787,0.009567,python36,[unknown],0
PyDict_SetDefault,0.020946,0.020946,0.008397,0.008397,python36,[unknown],0
PyObject_GenericGetAttrWithDict,0.189639,0.210585,0.076024,0.084421,python36,[unknown],0
PyEval_EvalFrameDefault,0.170197,124.696650,0.068230,49.989614,python36,[unknown],0
PyArg_Parse_SizeT,0.000000,0.009976,0.000000,0.003999,python36,[unknown],0
PyLong_New,0.000000,0.011940,0.000000,0.004787,python36,[unknown],0
Py_FinalizeEx,0.000000,0.016946,0.000000,0.006793,python36,[unknown],0
PyImport_AddModule,0.006954,0.027884,0.002788,0.011178,python36,[unknown],0
PyObject_CallFunction_SizeT,0.000000,0.020930,0.000000,0.008391,python36,[unknown],0
PyObject_CallFunction,0.000000,0.020930,0.000000,0.008391,python36,[unknown],0
PyList_Size,0.000000,123.136191,0.000000,49.364042,python36,[unknown],0
PyBytes_FromStringAndSize,0.000000,0.065673,0.000000,0.026328,python36,[unknown],0
PyFloat_AsDouble,0.000000,0.010967,0.000000,0.004397,python36,[unknown],0
PyUnicode_AsUnicodeAndSize,0.007965,0.007965,0.003193,0.003193,python36,[unknown],0
PyArg_ParseStack_SizeT,0.000000,0.007965,0.000000,0.003193,python36,[unknown],0
PyArg_ParseTupleAndKeywords,0.000000,0.021617,0.000000,0.008666,python36,[unknown],0
PyArg_ParseTuple,0.010650,0.029582,0.004269,0.011859,python36,[unknown],0
PyArg_ParseTuple_SizeT,0.023912,0.064755,0.009586,0.025960,python36,[unknown],0
PyUnicode_Partition,0.000000,5.987720,0.000000,2.400416,python36,[unknown],0
PyFunction_FastCallDict,0.000000,5.987720,0.000000,2.400416,python36,[unknown],0
PyObject_CallFunctionObjArgs,0.055881,124.696650,0.022402,49.989614,python36,[unknown],0
PyCFunction_FastCallDict,0.000000,6.970517,0.000000,2.794409,python36,[unknown],0
Py_CheckFunctionResult,0.033902,124.696650,0.013591,49.989614,python36,[unknown],0
